tau	1.30421
tau	1.92304
tau	1.5993
tau	1.18759
tau	1.51329
tau	1.31494
tau	1.35032
tau	1.14841
tau	1.15925
tau	1.10647
tau	1.63213
tau	1.23297
tau	1.81859
tau	1.15537
tau	1.19469
tau	1.18404
tau	1.51824
tau	1.69433
tau	1.72839
tau	0.871575
tau	1.14817
tau	1.28237
tau	1.09247
tau	1.0058
tau	1.25965
tau	1.47438
tau	1.29791
tau	1.51337
tau	1.79023
tau	0.992411
tau	1.53546
tau	1.49698
tau	1.15241
tau	1.34264
tau	1.17252
tau	1.50172
tau	0.936766
tau	1.53481
tau	1.30064
tau	1.04251
tau	1.40454
tau	1.24175
tau	1.60077
tau	1.27634
tau	1.31594
tau	1.46203
tau	1.49178
tau	1.3909
tau	1.36748
tau	1.3428
tau	1.45051
tau	1.15812
tau	1.38584
tau	1.30979
tau	1.28739
tau	1.08047
tau	1.04995
tau	1.22337
tau	1.42515
tau	1.68514
tau	1.30372
tau	0.90614
tau	1.36963
tau	1.44321
tau	1.48608
tau	1.80078
tau	1.56797
tau	1.21928
tau	1.64435
tau	1.33994
tau	1.48347
tau	1.41488
tau	1.54303
tau	1.41935
tau	1.06971
tau	1.4372
tau	1.36025
tau	1.23068
tau	1.65331
tau	1.11929
tau	1.28254
tau	1.55623
tau	1.4404
tau	1.50073
tau	1.32779
tau	1.5636
tau	1.36976
tau	1.41636
tau	1.41156
tau	1.55985
tau	1.63662
tau	1.13684
tau	1.26943
tau	1.16343
tau	1.33782
tau	1.15201
tau	1.49007
tau	1.46017
tau	1.57016
tau	1.17254
